indice,t_s,xc_px,yc_px
0,0.000000,600.945,399.928
1,0.108807,601.826,399.999
2,0.214686,602.950,399.959
3,0.322021,604.351,399.809
4,0.426436,605.957,399.556
5,0.533930,607.849,399.187
6,0.642023,609.983,398.707
7,0.752479,612.387,398.103
8,0.854085,614.781,397.449
9,0.963959,617.551,396.637
10,1.070086,620.386,395.751
11,1.181588,623.510,394.716
12,1.298612,626.924,393.518
13,1.414156,630.404,392.227
14,1.528601,633.928,390.846
15,1.649216,637.695,389.285
16,1.763779,641.293,387.707
17,1.877708,644.860,386.051
18,2.006399,648.841,384.083
19,2.132156,652.645,382.067
20,2.255377,656.253,380.010
21,2.368744,659.438,378.052
22,2.473108,662.235,376.201
23,2.588649,665.157,374.102
24,2.698454,667.742,372.065
25,2.814894,670.258,369.866
26,2.923729,672.381,367.782
27,3.025615,674.155,365.811
28,3.137758,675.854,363.625
29,3.264111,677.434,361.149
30,3.392793,678.665,358.623
31,3.520023,679.495,356.130
32,3.650418,679.936,353.592
33,3.757179,679.985,351.532
34,3.870574,679.730,349.370
35,3.987046,679.141,347.184
36,4.098393,678.271,345.133
37,4.209654,677.109,343.128
38,4.327309,675.573,341.063
39,4.439680,673.823,339.149
40,4.535414,672.123,337.569
41,4.650488,669.840,335.735
42,4.760170,667.438,334.059
43,4.875805,664.685,332.373
44,4.983948,661.926,330.877
45,5.105868,658.627,329.289
46,5.219888,655.387,327.904
47,5.332649,652.061,326.632
48,5.436435,648.915,325.552
49,5.548835,645.443,324.483
50,5.683658,641.224,323.344
51,5.816973,637.039,322.376
52,5.937883,633.270,321.636
53,6.070735,629.200,320.980
54,6.188314,625.694,320.537
55,6.324733,621.781,320.189
56,6.449625,618.382,320.026
57,6.570492,615.289,320.011
58,6.690866,612.430,320.136
59,6.801683,610.015,320.375
60,6.939947,607.322,320.836
61,7.068130,605.169,321.426
62,7.187772,603.478,322.113
63,7.328606,601.900,323.090
64,7.464199,600.821,324.197
65,7.615860,600.141,325.623
66,7.747123,600.007,327.011
67,7.894861,600.365,328.737
68,8.040963,601.244,330.605
69,8.185960,602.619,332.609
70,8.333098,604.510,334.784
71,8.462966,606.574,336.813
72,8.607735,609.282,339.186
73,8.742879,612.169,341.496
74,8.882172,615.473,343.962
75,9.021402,619.067,346.502
76,9.150100,622.614,348.906
77,9.282024,626.433,351.416
78,9.426755,630.788,354.211
79,9.560652,634.925,356.823
80,9.696843,639.190,359.494
81,9.818434,643.007,361.881
82,9.958464,647.367,364.620
83,10.097119,651.596,367.312
84,10.207463,654.866,369.430
85,10.326010,658.254,371.675
86,10.444080,661.472,373.871
87,10.568049,664.651,376.127
88,10.682737,667.384,378.162
89,10.816288,670.287,380.457
90,10.926874,672.439,382.292
91,11.034210,674.294,384.010
92,11.154171,676.079,385.851
93,11.277707,677.583,387.654
94,11.396529,678.695,389.292
95,11.517543,679.482,390.857
96,11.619488,679.869,392.092
97,11.731798,679.999,393.359
98,11.864604,679.752,394.726
99,11.975150,679.216,395.751
100,12.078260,678.450,396.613
101,12.202886,677.188,397.529
102,12.307893,675.848,398.193
103,12.431029,673.967,398.841
104,12.534953,672.132,399.278
105,12.654319,669.760,399.654
106,12.788071,666.794,399.913
107,12.920435,663.567,400.000
108,13.061497,659.849,399.907
109,13.199966,655.963,399.630
110,13.324586,652.302,399.224
111,13.455946,648.317,398.637
112,13.554015,645.282,398.094
113,13.674122,641.523,397.309
114,13.790290,637.875,396.426
115,13.889142,634.784,395.582
116,13.995812,631.483,394.577
117,14.103097,628.224,393.470
118,14.208784,625.095,392.289
119,14.316744,622.005,390.994
120,14.422577,619.101,389.639
121,14.529195,616.322,388.193
122,14.636079,613.702,386.666
123,14.742487,611.278,385.073
124,14.848875,609.055,383.412
125,14.955817,607.037,381.678
126,15.061799,605.268,379.901
127,15.157801,603.872,378.244
128,15.265033,602.556,376.346
129,15.370977,601.516,374.426
130,15.477527,600.739,372.456
131,15.578898,600.255,370.550
132,15.690775,600.013,368.416
133,15.800104,600.074,366.306
134,15.920006,600.480,363.972
135,16.039198,601.230,361.638
136,16.148475,602.217,359.492
137,16.254562,603.440,357.411
138,16.362205,604.941,355.307
139,16.466377,606.633,353.282
140,16.575274,608.639,351.185
141,16.685339,610.900,349.091
142,16.791755,613.292,347.097
143,16.899483,615.904,345.113
144,17.005894,618.654,343.195
145,17.113497,621.585,341.302
146,17.220025,624.617,339.480
147,17.327447,627.784,337.699
148,17.433699,631.001,335.998
149,17.541289,634.322,334.342
150,17.649161,637.693,332.754
151,17.754481,641.001,331.277
152,17.849584,643.982,330.009
153,17.958045,647.354,328.643
154,18.066339,650.667,327.368
155,18.173393,653.867,326.198
156,18.280341,656.966,325.122
157,18.387690,659.956,324.139
158,18.494929,662.802,323.256
159,18.604343,665.539,322.461
160,18.719472,668.214,321.740
161,18.826242,670.490,321.182
162,18.932412,672.540,320.732
163,19.039834,674.385,320.385
164,19.146506,675.975,320.149
165,19.254640,677.328,320.022
