frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,interpolado
0,0.04569,1071.5,127.5,209.093,24.880,20.6168,-3.8093,0
0,0.04569,1087.5,127.5,212.216,24.880,21.1852,-3.8746,0
0,0.04569,1103.5,127.5,215.338,24.880,21.6154,-3.3988,0
0,0.04569,1119.5,127.5,218.460,24.880,21.6818,-2.6152,0
0,0.04569,1135.5,127.5,221.583,24.880,22.4802,-1.7601,0
0,0.04569,1151.5,127.5,224.705,24.880,26.8262,-0.8231,0
0,0.04569,1167.5,127.5,227.827,24.880,26.3512,0.4273,0
0,0.04569,991.5,143.5,193.482,28.003,18.2856,-6.1699,0
0,0.04569,1007.5,143.5,196.604,28.003,16.3168,-5.5255,0
0,0.04569,1023.5,143.5,199.727,28.003,19.1696,-6.4250,0
0,0.04569,1039.5,143.5,202.849,28.003,21.1701,-6.5024,0
0,0.04569,1055.5,143.5,205.971,28.003,22.9464,-6.4384,0
0,0.04569,1071.5,143.5,209.093,28.003,23.0549,-5.6709,0
0,0.04569,1087.5,143.5,212.216,28.003,23.2263,-4.6277,0
0,0.04569,1103.5,143.5,215.338,28.003,23.6697,-4.0885,0
0,0.04569,1119.5,143.5,218.460,28.003,26.1980,-3.2870,0
0,0.04569,1135.5,143.5,221.583,28.003,24.1976,-2.1731,0
0,0.04569,1151.5,143.5,224.705,28.003,27.8017,-1.4317,0
0,0.04569,1167.5,143.5,227.827,28.003,26.1770,-0.0669,0
0,0.04569,1183.5,143.5,230.949,28.003,27.3955,2.4488,0
0,0.04569,1199.5,143.5,234.072,28.003,24.2831,3.9806,0
0,0.04569,1215.5,143.5,237.194,28.003,25.4437,6.0804,0
0,0.04569,1231.5,143.5,240.316,28.003,22.4288,6.9447,0
0,0.04569,1247.5,143.5,243.438,28.003,22.4360,8.1477,0
0,0.04569,959.5,159.5,187.238,31.125,22.2209,-4.1712,1
0,0.04569,975.5,159.5,190.360,31.125,20.2295,-5.4049,0
0,0.04569,991.5,159.5,193.482,31.125,20.8175,-6.1979,0
0,0.04569,1007.5,159.5,196.604,31.125,20.1522,-5.7134,0
0,0.04569,1023.5,159.5,199.727,31.125,21.9140,-7.2731,0
0,0.04569,1039.5,159.5,202.849,31.125,25.1433,-8.4872,0
0,0.04569,1055.5,159.5,205.971,31.125,26.9034,-8.7139,0
0,0.04569,1071.5,159.5,209.093,31.125,26.3695,-6.6561,0
0,0.04569,1087.5,159.5,212.216,31.125,25.7541,-5.6471,0
0,0.04569,1103.5,159.5,215.338,31.125,25.9564,-4.5619,0
0,0.04569,1119.5,159.5,218.460,31.125,25.9954,-4.6234,0
0,0.04569,1135.5,159.5,221.583,31.125,25.7428,-2.9116,0
0,0.04569,1151.5,159.5,224.705,31.125,26.4108,-2.4421,0
0,0.04569,1167.5,159.5,227.827,31.125,26.4267,-1.1148,0
0,0.04569,1183.5,159.5,230.949,31.125,28.8957,2.6674,0
0,0.04569,1199.5,159.5,234.072,31.125,26.5491,4.5235,0
0,0.04569,1215.5,159.5,237.194,31.125,27.4424,6.8096,0
0,0.04569,1231.5,159.5,240.316,31.125,28.0877,10.3523,0
0,0.04569,1247.5,159.5,243.438,31.125,26.3443,11.3203,0
0,0.04569,1263.5,159.5,246.561,31.125,27.5991,13.7218,0
0,0.04569,1279.5,159.5,249.683,31.125,23.1156,11.8544,0
0,0.04569,927.5,175.5,180.993,34.247,21.7358,-4.4877,0
0,0.04569,943.5,175.5,184.115,34.247,21.1440,-2.4113,0
0,0.04569,959.5,175.5,187.238,34.247,24.5699,-3.9210,0
0,0.04569,975.5,175.5,190.360,34.247,22.9400,-4.9477,0
0,0.04569,991.5,175.5,193.482,34.247,24.8831,-6.6111,0
0,0.04569,1007.5,175.5,196.604,34.247,24.3425,-6.8095,0
0,0.04569,1023.5,175.5,199.727,34.247,24.5660,-7.8517,0
0,0.04569,1039.5,175.5,202.849,34.247,27.5767,-9.5823,0
0,0.04569,1055.5,175.5,205.971,34.247,27.1056,-8.2170,1
0,0.04569,1071.5,175.5,209.093,34.247,27.7144,-7.4003,0
