frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,interpolado
0,0.03294,1039.5,191.5,202.849,37.369,33.4761,-3.7173,1
0,0.03294,1055.5,191.5,205.971,37.369,32.9689,0.8570,0
0,0.03294,1071.5,191.5,209.093,37.369,33.6490,1.5564,0
0,0.03294,1087.5,191.5,212.216,37.369,32.4633,0.0711,0
0,0.03294,1103.5,191.5,215.338,37.369,32.5059,0.5777,0
0,0.03294,1119.5,191.5,218.460,37.369,33.1859,2.6994,0
0,0.03294,1135.5,191.5,221.583,37.369,35.2801,6.3361,0
0,0.03294,1151.5,191.5,224.705,37.369,33.8583,10.7115,0
0,0.03294,1167.5,191.5,227.827,37.369,28.6048,4.9386,0
0,0.03294,1183.5,191.5,230.949,37.369,42.5078,6.5604,0
0,0.03294,1199.5,191.5,234.072,37.369,37.2048,8.0846,0
0,0.03294,1215.5,191.5,237.194,37.369,35.4252,9.4319,0
0,0.03294,975.5,207.5,190.360,40.492,30.9718,-13.1915,0
0,0.03294,991.5,207.5,193.482,40.492,32.1763,-11.2441,0
0,0.03294,1007.5,207.5,196.604,40.492,32.6363,-10.5248,1
0,0.03294,1023.5,207.5,199.727,40.492,33.7363,-8.5395,0
0,0.03294,1039.5,207.5,202.849,40.492,33.8569,-6.2716,0
0,0.03294,1055.5,207.5,205.971,40.492,33.3423,-0.9151,0
0,0.03294,1071.5,207.5,209.093,40.492,34.6947,-0.2196,0
0,0.03294,1087.5,207.5,212.216,40.492,31.8683,0.3639,0
0,0.03294,1103.5,207.5,215.338,40.492,33.9466,0.5013,0
0,0.03294,1119.5,207.5,218.460,40.492,37.5688,3.0510,0
0,0.03294,1135.5,207.5,221.583,40.492,35.6405,5.9243,0
0,0.03294,1151.5,207.5,224.705,40.492,34.1628,5.7089,1
0,0.03294,1167.5,207.5,227.827,40.492,36.3508,7.2269,1
0,0.03294,1183.5,207.5,230.949,40.492,44.3122,8.6303,0
0,0.03294,1199.5,207.5,234.072,40.492,40.1744,9.3550,0
0,0.03294,1215.5,207.5,237.194,40.492,35.1456,12.5022,0
0,0.03294,1231.5,207.5,240.316,40.492,30.8053,14.6074,0
0,0.03294,1247.5,207.5,243.438,40.492,30.1242,12.7858,0
0,0.03294,1263.5,207.5,246.561,40.492,30.2995,14.4322,1
0,0.03294,943.5,223.5,184.115,43.614,30.0287,-18.2492,1
0,0.03294,959.5,223.5,187.238,43.614,30.8067,-16.0686,1
0,0.03294,975.5,223.5,190.360,43.614,31.4464,-15.4136,0
0,0.03294,991.5,223.5,193.482,43.614,31.4991,-13.6434,0
0,0.03294,1007.5,223.5,196.604,43.614,31.2366,-11.3551,0
0,0.03294,1023.5,223.5,199.727,43.614,34.5332,-7.8419,0
0,0.03294,1039.5,223.5,202.849,43.614,33.2583,-5.4293,0
0,0.03294,1055.5,223.5,205.971,43.614,33.3511,-0.1680,0
0,0.03294,1071.5,223.5,209.093,43.614,33.2770,2.5831,0
